B1;L11;B2;L12;Vtp
0.900662831;2.11E-05;0.900662831;-1.04E-07;-0.004925307
0.903658329;2.09E-05;0.903658329;-1.21E-07;-0.005775727
0.906653827;2.07E-05;0.906653827;-1.36E-07;-0.006596311
0.909649325;2.04E-05;0.909649325;-1.50E-07;-0.007363937
0.912644822;2.00E-05;0.912644822;-1.61E-07;-0.008055171
0.91564032;1.97E-05;0.91564032;-1.70E-07;-0.008646437
0.918635818;1.93E-05;0.918635818;-1.76E-07;-0.00911432
0.921631316;1.89E-05;0.921631316;-1.78E-07;-0.009436073
0.924626813;1.85E-05;0.924626813;-1.78E-07;-0.009590357
0.927622311;1.81E-05;0.927622311;-1.73E-07;-0.009558264
0.930617809;1.77E-05;0.930617809;-1.65E-07;-0.0093246
0.933613307;1.74E-05;0.933613307;-1.54E-07;-0.008879386
0.936608804;1.70E-05;0.936608804;-1.40E-07;-0.008219454
0.939604302;1.67E-05;0.939604302;-1.23E-07;-0.007349969
0.9425998;1.65E-05;0.9425998;-1.04E-07;-0.006285625
0.945595298;1.63E-05;0.945595298;-8.22E-08;-0.00505125
0.948590795;1.61E-05;0.948590795;-5.94E-08;-0.003681576
0.951586293;1.60E-05;0.951586293;-3.56E-08;-0.002220019
0.954581791;1.60E-05;0.954581791;-1.15E-08;-0.000716469
0.957577289;1.60E-05;0.957577289;1.24E-08;0.000775744
0.960572786;1.61E-05;0.960572786;3.55E-08;0.002203331
0.963568284;1.63E-05;0.963568284;5.72E-08;0.003516544
0.966563782;1.65E-05;0.966563782;7.70E-08;0.004672214
0.96955928;1.67E-05;0.96955928;9.43E-08;0.005635986
0.972554777;1.70E-05;0.972554777;1.09E-07;0.006383531
0.975550275;1.73E-05;0.975550275;1.20E-07;0.006900758
0.978545773;1.77E-05;0.978545773;1.27E-07;0.007183146
0.981541271;1.80E-05;0.981541271;1.31E-07;0.007234467
0.984536768;1.84E-05;0.984536768;1.30E-07;0.007065159
0.987532266;1.88E-05;0.987532266;1.26E-07;0.006690599
0.990527764;1.91E-05;0.990527764;1.17E-07;0.006129471
0.993523262;1.95E-05;0.993523262;1.05E-07;0.005402352
0.996518759;1.97E-05;0.996518759;8.95E-08;0.004530565
0.999514257;2.00E-05;0.999514257;7.07E-08;0.003535318
1.002509755;2.02E-05;1.002509755;4.92E-08;0.002437113
1.005505253;2.03E-05;1.005505253;2.55E-08;0.001255375
1.00850075;2.04E-05;1.00850075;1.69E-10;8.28E-06
1.011496248;2.05E-05;1.011496248;-2.63E-08;-0.001287267
1.014491746;2.04E-05;1.014491746;-5.34E-08;-0.002615563
1.017487244;2.03E-05;1.017487244;-8.05E-08;-0.003961902
1.020482741;2.02E-05;1.020482741;-1.07E-07;-0.005312333
1.023478239;1.99E-05;1.023478239;-1.33E-07;-0.006653356
1.026473737;1.97E-05;1.026473737;-1.57E-07;-0.007971566
1.029469235;1.93E-05;1.029469235;-1.79E-07;-0.009253267
1.032464732;1.89E-05;1.032464732;-1.99E-07;-0.010484077
1.03546023;1.85E-05;1.03546023;-2.16E-07;-0.011648513
1.038455728;1.81E-05;1.038455728;-2.30E-07;-0.012729607
1.041451226;1.76E-05;1.041451226;-2.41E-07;-0.013708559
1.044446723;1.71E-05;1.044446723;-2.48E-07;-0.014564483
1.047442221;1.65E-05;1.047442221;-2.53E-07;-0.015274279
1.050437719;1.60E-05;1.050437719;-2.53E-07;-0.015812702
1.053433217;1.55E-05;1.053433217;-2.50E-07;-0.016152699
1.056428714;1.49E-05;1.056428714;-2.43E-07;-0.016266098
1.059424212;1.44E-05;1.059424212;-2.33E-07;-0.01612472
1.06241971;1.40E-05;1.06241971;-2.19E-07;-0.015702002
1.065415208;1.35E-05;1.065415208;-2.02E-07;-0.014975124
1.068410705;1.31E-05;1.068410705;-1.83E-07;-0.013927618
1.071406203;1.27E-05;1.071406203;-1.60E-07;-0.01255228
1.074401701;1.24E-05;1.074401701;-1.35E-07;-0.010854105
1.077397199;1.22E-05;1.077397199;-1.08E-07;-0.008852795
1.080392696;1.20E-05;1.080392696;-7.87E-08;-0.006584345
1.083388194;1.18E-05;1.083388194;-4.84E-08;-0.004101167
1.086383692;1.17E-05;1.086383692;-1.72E-08;-0.001470401
1.08937919;1.17E-05;1.08937919;1.44E-08;0.001229676
1.092374687;1.18E-05;1.092374687;4.61E-08;0.003914828
1.095370185;1.19E-05;1.095370185;7.74E-08;0.006500961
1.098365683;1.21E-05;1.098365683;1.08E-07;0.008910248
1.101361181;1.23E-05;1.101361181;1.37E-07;0.01107635
1.104356678;1.27E-05;1.104356678;1.64E-07;0.012948061
1.107352176;1.30E-05;1.107352176;1.89E-07;0.014491034
1.110347674;1.35E-05;1.110347674;2.11E-07;0.015687651
1.113343172;1.39E-05;1.113343172;2.30E-07;0.016535407
1.116338669;1.44E-05;1.116338669;2.46E-07;0.017044325
1.119334167;1.50E-05;1.119334167;2.58E-07;0.01723394
1.122329665;1.55E-05;1.122329665;2.66E-07;0.017130301
1.125325163;1.61E-05;1.125325163;2.70E-07;0.016763286
1.12832066;1.67E-05;1.12832066;2.70E-07;0.016164404
1.131316158;1.73E-05;1.131316158;2.66E-07;0.015365125
1.134311656;1.79E-05;1.134311656;2.57E-07;0.014395698
1.137307154;1.84E-05;1.137307154;2.44E-07;0.013284401
1.140302651;1.89E-05;1.140302651;2.28E-07;0.012057119
1.143298149;1.94E-05;1.143298149;2.08E-07;0.01073716
1.146293647;1.98E-05;1.146293647;1.85E-07;0.009345238
1.149289145;2.02E-05;1.149289145;1.59E-07;0.007899553
1.152284642;2.05E-05;1.152284642;1.31E-07;0.006415929
1.15528014;2.07E-05;1.15528014;1.02E-07;0.004907965
1.158275638;2.09E-05;1.158275638;7.08E-08;0.003387189
1.161271136;2.10E-05;1.161271136;3.92E-08;0.001863201
1.164266633;2.11E-05;1.164266633;7.24E-09;0.000343797
1.167262131;2.11E-05;1.167262131;-2.45E-08;-0.001164915
1.170257629;2.10E-05;1.170257629;-5.58E-08;-0.002658394
1.173253127;2.08E-05;1.173253127;-8.62E-08;-0.004133546
1.176248624;2.07E-05;1.176248624;-1.15E-07;-0.005588575
